1,0,"(-0.7862878731283496, 0.7231083979948096, -0.259085094874254, 0.21539543325385213)",0,0
1,1,"(0.34883913170488245, 0.6568218361545668, 0.5052537436205273, 0.6325865118799074)",0,0
1,2,"(0.7870152405794208, -0.06664706728935799, -0.15576628421269434, 0.4609527611358828)",0,0
1,3,"(0.8237254946812986, -0.4398245195782109, 0.11696963627136103, 0.20162650619957478)",0,0
1,4,"(0.036697271577156076, 0.5726470155844339, 0.7396946118607188, 0.21371576173447404)",0,0
1,5,"(-0.04147697388418736, 0.39848773778079893, -0.839486565439725, -0.5835425496550704)",0,0
1,6,"(0.5943117425975621, 0.13420079141506713, -0.5696312717197147, -0.9926492486078258)",0,0
1,7,"(-0.3584670113158508, -0.7246436976889137, 0.5196527785372163, 0.8334248653117848)",3,120
1,8,"(-0.44598994805825054, 0.9867656181033639, -0.4908283410979972, -0.450269319050413)",0,0
1,9,"(-0.04015568102244638, 0.5776204077988889, -0.8114621146850964, 0.5399076959086586)",0,0
1,10,"(0.944569806433504, 0.08211728587965395, -0.5331064603307627, 0.438775423004242)",0,0
1,11,"(0.836814787505201, -0.21716328020849973, 0.5550104663519382, -0.25699536222493413)",0,0
1,12,"(-0.6806951616569938, 0.40708815959186007, 0.7761450711286726, -0.11647623524413153)",0,0
1,13,"(0.25200016485838495, -0.3364774400892834, 0.9353461551232352, 0.6044081739680045)",0,0
1,14,"(-0.012731944474841939, -0.8961591354710889, -0.5019986788604383, 0.7433912147815664)",7,280
1,15,"(-0.7871799952688561, -0.7003005810160978, -0.5730676689979157, 0.07383150469343547)",16,680
1,16,"(-0.4735942011619594, 0.3218449145448954, 0.24221351646501788, -0.476907644609039)",0,0
1,17,"(0.392937446301749, 0.7350336731539826, -0.9558226834503563, 0.9152989150846833)",0,0
1,18,"(0.5307385844476333, -0.20181273426549673, -0.4513069823006397, 0.8886672370589701)",3,120
1,19,"(0.4083638439279733, 0.32594156031574073, -0.9052996108993387, -0.9132254057861751)",0,0
2,0,"(-0.7871799952688561, -0.7003005810160978, -0.5730676689979157, 0.07383150469343547)",0,0
2,1,"(-0.012731944474841939, -0.8961591354710889, -0.5019986788604383, 0.7433912147815664)",7,280
2,2,"(-0.3584670113158508, -0.7246436976889137, 0.5196527785372163, 0.8334248653117848)",1,40
2,3,"(0.5307385844476333, -0.20181273426549673, -0.4513069823006397, 0.8886672370589701)",4,160
2,4,"(-0.7862878731283496, 0.7231083979948096, -0.259085094874254, 0.21539543325385213)",0,0
2,5,"(-0.7871799952688561, -0.20181273426549673, -0.5730676689979157, 0.8886672370589701)",71,3280
2,6,"(0.5307385844476333, -0.7003005810160978, -0.4513069823006397, 0.07383150469343547)",4,160
2,7,"(-0.7871799952688561, -0.8961591354710889, -0.5019986788604383, 0.07383150469343547)",15,600
2,8,"(-0.012731944474841939, -0.7003005810160978, -0.5730676689979157, 0.7433912147815664)",11,440
2,9,"(-0.7871799952688561, -0.20181273426549673, -0.4513069823006397, 0.07383150469343547)",76,3660
2,10,"(0.5307385844476333, -0.7003005810160978, -0.5730676689979157, 0.8886672370589701)",5,200
2,11,"(0.23888023391676078, -0.8628220613742678, -0.5403866536781005, 1.065277840985093)",1,40
